,Image,Sentiment
0,./images/image-0.png,Positive
1,./images/image-1.png,Positive
2,./images/image-2.png,Negative
3,./images/image-3.png,Positive
4,./images/image-4.png,Negative
5,./images/image-5.png,Negative
6,./images/image-6.png,Negative
7,./images/image-7.png,Positive
8,./images/image-8.png,Positive
9,./images/image-9.png,Negative
10,./images/image-10.png,Positive
11,./images/image-11.png,Negative
12,./images/image-12.png,Negative
13,./images/image-13.png,Positive
14,./images/image-14.png,Positive
15,./images/image-15.png,Positive
16,./images/image-16.png,Positive
17,./images/image-17.png,Positive
18,./images/image-18.png,Positive
19,./images/image-19.png,Positive
20,./images/image-20.png,Positive
21,./images/image-21.png,Positive
22,./images/image-22.png,Positive
23,./images/image-23.png,Positive
24,./images/image-24.png,Positive
25,./images/image-25.png,Negative
26,./images/image-26.png,Positive
27,./images/image-27.png,Negative
28,./images/image-28.png,Negative
29,./images/image-29.png,Positive
30,./images/image-30.png,Negative
31,./images/image-31.png,Positive
32,./images/image-32.png,Positive
33,./images/image-33.png,Positive
34,./images/image-34.png,Negative
35,./images/image-35.png,Negative
36,./images/image-36.png,Positive
37,./images/image-37.png,Negative
38,./images/image-38.png,Positive
39,./images/image-39.png,Positive
40,./images/image-40.png,Negative
41,./images/image-41.png,Positive
42,./images/image-42.png,Negative
43,./images/image-43.png,Positive
44,./images/image-44.png,Negative
45,./images/image-45.png,Positive
46,./images/image-46.png,Positive
47,./images/image-47.png,Negative
48,./images/image-48.png,Negative
49,./images/image-49.png,Positive
50,./images/image-50.png,Positive
51,./images/image-51.png,Negative
52,./images/image-52.png,Positive
53,./images/image-53.png,Positive
54,./images/image-54.png,Positive
55,./images/image-55.png,Positive
56,./images/image-56.png,Negative
57,./images/image-57.png,Positive
58,./images/image-58.png,Negative
59,./images/image-59.png,Positive
60,./images/image-60.png,Negative
61,./images/image-61.png,Negative
62,./images/image-62.png,Negative
63,./images/image-63.png,Negative
64,./images/image-64.png,Positive
65,./images/image-65.png,Positive
66,./images/image-66.png,Positive
67,./images/image-67.png,Negative
68,./images/image-68.png,Positive
69,./images/image-69.png,Negative
70,./images/image-70.png,Positive
71,./images/image-71.png,Negative
72,./images/image-72.png,Positive
73,./images/image-73.png,Negative
74,./images/image-74.png,Positive
75,./images/image-75.png,Negative
76,./images/image-76.png,Positive
77,./images/image-77.png,Negative
78,./images/image-78.png,Positive
79,./images/image-79.png,Negative
80,./images/image-80.png,Negative
81,./images/image-81.png,Positive
82,./images/image-82.png,Positive
83,./images/image-83.png,Positive
84,./images/image-84.png,Positive
85,./images/image-85.png,Positive
86,./images/image-86.png,Negative
87,./images/image-87.png,Negative
88,./images/image-88.png,Positive
89,./images/image-89.png,Negative
90,./images/image-90.png,Positive
91,./images/image-91.png,Positive
92,./images/image-92.png,Positive
93,./images/image-93.png,Positive
94,./images/image-94.png,Negative
95,./images/image-95.png,Positive
96,./images/image-96.png,Negative
97,./images/image-97.png,Negative
98,./images/image-98.png,Positive
99,./images/image-99.png,Positive
100,./images/image-100.png,Positive
101,./images/image-101.png,Positive
102,./images/image-102.png,Negative
103,./images/image-103.png,Negative
104,./images/image-104.png,Positive
105,./images/image-105.png,Positive
106,./images/image-106.png,Positive
107,./images/image-107.png,Negative
108,./images/image-108.png,Positive
109,./images/image-109.png,Positive
110,./images/image-110.png,Positive
111,./images/image-111.png,Positive
112,./images/image-112.png,Negative
113,./images/image-113.png,Negative
114,./images/image-114.png,Negative
115,./images/image-115.png,Positive
116,./images/image-116.png,Positive
